token_name,current_price,price_ma_5,price_ma_20,volume_ma_5,price_volatility,recent_trades,buy_pressure,last_trade,erg_liquidity,token_liquidity,rsi_14,market_impact,liquidity_imbalance,price_momentum_5,bb_position_5,volume_imbalance_5,trade_sign_imbalance_5,price_momentum_20,bb_position_20,volume_imbalance_20,trade_sign_imbalance_20,price_momentum_50,bb_position_50,volume_imbalance_50,trade_sign_imbalance_50
RSN,0.05726755401234568,10.563960423042376,7.066728404205667,21.6090454012,112.20043921455093,20,0.4,2025-01-16 09:19:22,534591.409162207,9362755703,39.991776256294976,0.052460008797774405,0.0009970332677824167,-0.9967400474190415,0.22613879128703793,-0.09213524067515903,0.19999999999999996,-0.996745250272761,0.30104569399338393,-0.7117493067172561,-0.19999999999999996,0.0031314483083146882,0.3302284507743085,-0.6009452164113477,-0.36
CYPX,0.0010042128906557605,399.60829178051836,390.4661870488952,21.0449332226,391783.50208395853,20,0.4,2025-01-16 08:36:02,10101.567625185,100774721776,49.99999962114719,0.00015673870361537778,9.9818577348035e-05,-0.9999989838501788,0.31742755260090944,0.5248262422965984,-0.19999999999999996,-0.9999989448005624,0.3010991188741316,0.5909952023243968,-0.19999999999999996,-0.041855046618357594,0.2717699310910554,0.1945069618863565,-0.07999999999999996
Bober,5.201642675203525,3.212397210175939,2.7096490966747893,15.050799104800001,11.798496863588394,20,0.5,2025-01-16 09:56:05,2361.370324651,12250181,57.00813752280479,25.722859167338665,3.705792349447351e-05,26.72475545883479,0.6802514889500928,-0.46171640766793304,0.19999999999999996,25.996525484306293,0.7410104427031763,-0.010723523883582284,0.0,0.11668844124477595,0.7755206006069977,0.23696029215653194,-0.07999999999999996
ErgOne,14.097136794013467,9.26083808399582,8.254530470691279,53.3821323304,118.7657521696701,20,0.5,2025-01-16 10:03:23,3177.72551314,4467982782908,48.79311916041946,131.9367112085252,5.0451487557155764e-11,-0.15567041262922354,0.6431781360775408,-0.9651738518931119,0.19999999999999996,259.3117517184789,0.6731447544631426,-0.7422809198475945,0.0,,,0.1096723474143552,-0.2195121951219512
PHP,69817.28383971313,39796.87078726486,45358.31138459092,0.35028499459999995,2022799949.5507903,20,0.7,2025-01-16 09:27:15,6387.495909261,43747532656610668,55.634079047761105,9047729842.996092,2.0912893312934117e-18,0.005017019733803307,0.7051668572907828,-0.25612003592231536,0.19999999999999996,0.14907693257647558,0.6987406258283086,0.7710631115829962,0.3999999999999999,6016377382.051672,0.7931186883815858,-0.168108222926827,0.0
greenbERG,23337.35812004511,23337.35812004511,23337.35812004511,1.28549255,0.0,1,1.0,2025-01-06 09:35:08,18.801198972,46438261,,,1.734833927105472e-11,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0
COMET,82923.52567705928,51328.88621081098,48202.27428350889,22.416742016999997,0.0,20,0.55,2025-01-16 02:17:36,3391.796778878,280921701,49.52300666720191,1134727551.0755439,1.4560181045834002e-10,-0.043153851118334474,0.6684709839013417,-0.6354410325727753,0.19999999999999996,,0.6938681365472135,-0.13160727097793906,0.10000000000000009,,,-0.13160727097793906,0.10000000000000009
CRUX,501.40710187735124,493.4662324679683,491.37559171521104,8.941840919,0.0,7,1.0,2025-01-15 21:34:38,2955.761842084,14782517532,,0.006957911356442165,3.98777415661518e-10,0.03041706237042141,0.8469624892241555,1.0,1.0,,,1.0,1.0,,,1.0,1.0
rsADA,1.7477002837134563,1.0534188493446004,1.040770912627154,376.7648402838,1.1247478197637293,20,0.4,2025-01-16 10:03:23,49068.215233653,86499264084,50.10883047254606,5.9130089770540195e-05,3.245793545291045e-07,0.012635452154480031,0.7620940140319975,0.7812959406245769,-0.19999999999999996,0.028922549069217984,0.8021279931760263,0.3836674578376225,-0.19999999999999996,0.038759994908998285,0.7336675045291309,0.1930700064458857,0.1200000000000001
ergopad,13723.708562586211,13465.746382457777,13465.746382457777,29.630950133,0.0,4,1.0,2025-01-14 09:28:26,7431.086452554,10164337752,,0.003072001402036609,5.327233577574542e-11,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0
kushti,88584.93989340198,53144.046688710594,47754.31550721174,1.7106982590000002,4815113405.775278,20,0.5,2025-01-16 10:03:23,284.292020473,25151638,55.202247777744724,15090023932.787727,1.2759642353366357e-10,0.02035963852092726,0.6826316471465702,-0.40293589905383775,0.19999999999999996,10665148403.490175,0.7044384428547485,-0.35263132968069594,0.0,-0.11421044820610171,0.5751448742534228,-0.17910700603449525,0.040000000000000036
Erdoge,0.03488372093023256,0.034779828977863025,5.994257847556654,3.5,324.722023187625,20,0.2,2025-01-16 09:20:38,1914.447032641,55336,50.00049397375724,0.0,0.991774160324358,-0.9988197854209302,0.6118031940298169,-1.0,-1.0,-0.998840637961857,0.3781889516684829,-0.6199652271972266,-0.6,,,0.3712333547882909,-0.19999999999999996
rsHOSKY,1.0650886502573547e-07,8006427.350778291,8493122.443041125,3.5970138004,0.0,7,0.8571428571428571,2025-01-16 02:15:29,460.089723077,4395256137,,0.1666666666666649,0.982816834508135,-0.9999999999999891,0.05288955777678769,0.3327798743132117,0.6000000000000001,,,0.8279901649679181,0.7142857142857142,,,0.8279901649679181,0.7142857142857142
QUACKS,0.014346147068815695,41.92918174586411,32.42200022244255,236.14081680479998,1656.66068328302,20,0.5,2025-01-15 11:21:58,17481.549997424,1187332798757,49.999683342109435,6.724477136442461e-05,1.0262949527453976e-06,-0.0295941789059031,0.22622380335704398,0.03616832075185056,0.19999999999999996,-0.1699159000223074,0.25728989579474987,0.37532558886799827,0.0,,,0.33648514533732576,0.0
SigRSV,2387.8272607085673,955.1020817884953,1321.0672426385306,17.153068238400003,2915270.8077399367,20,0.55,2025-01-16 09:38:43,33450.197922016,79481142,53.85875613494811,1867640.6533037873,1.762510395776354e-07,0.010117871402339329,0.7738751738031344,-0.9061085623623552,-0.19999999999999996,5668700.916922139,0.7174431861023883,-0.03561838843671139,0.10000000000000009,,,0.024142452099969725,-0.09090909090909094
GreasyCex,0.0002735229759299781,1571.5739922087655,1287.7313604311264,8.081319530600002,0.0,14,0.35714285714285715,2025-01-16 08:06:38,3952.012482365,14971774,42.44982430176673,0.9999999303438837,0.9650531483795066,-0.9999999293222983,0.31742586076062657,0.20583689125289395,-0.19999999999999996,,,0.93208137178621,-0.2857142857142857,,,0.93208137178621,-0.2857142857142857
Mi Goreng ,617600.1769088581,387196.0852308323,387196.0852308323,0.5482406122000001,0.0,5,0.6,2025-01-14 03:45:20,53.084053099,32634447,,17478514950065.068,2.633785517940657e-12,,0.6627724120772893,-0.5577102115310968,0.19999999999999996,,,-0.5577102115310968,0.19999999999999996,,,-0.5577102115310968,0.19999999999999996
🤡,1.5134323889562648e-07,2679926.2386562964,3262553.5172807546,0.610577515,20937878871378.355,20,0.5,2025-01-16 10:03:23,27.242221192,177248617584,50.0,1.9999999999999545,0.0010155390648336963,-0.004260594581395494,0.3174364633586956,0.017323787299963114,-0.19999999999999996,-0.9999999999999786,0.2578285347358151,-0.10608692142704378,0.0,,,-0.0026596655768888625,0.05882352941176472
🐶,6.78947082267084e-12,89823760287.1408,89823760287.1408,0.3259244932,0.0,5,0.6,2025-01-16 09:08:09,123.237242865,18262032554576,,2.0,0.9939325983143716,,0.22614161031967853,0.2636331266680022,0.19999999999999996,,,0.2636331266680022,0.19999999999999996,,,0.2636331266680022,0.19999999999999996
GIF,4.463617359147931e-08,12083396.581543215,12083396.581543215,2.0191816635,0.0,2,0.5,2025-01-13 14:37:50,203.954064762,4746191823484784,,0.9999999999999981,9.627202799368471e-07,,,0.5047498607596186,0.0,,,0.5047498607596186,0.0,,,0.5047498607596186,0.0
SigUSD,0.5395683453237411,0.539277472900386,0.9933716621867275,2.1,1.064580197355989,20,0.35,2025-01-16 10:03:23,111117.536812218,20718818,49.93273957950619,0.0005995203836932639,0.00993965171623098,0.0012514998078512196,0.7738612724307653,-1.0,-1.0,-0.6977973150079337,0.319176675794717,0.3790004585112896,-0.30000000000000004,-0.7027100562703363,0.28339247542172785,0.11042537440453247,-0.16000000000000003
🍆💦,14745.093325609048,8957.211329393604,8957.211329393604,0.10825872119999999,0.0,5,0.6,2025-01-16 08:48:18,3.217701778,48981,,1877933161.464886,4.455235006920122e-09,,0.6767617180945443,0.2610295123271787,0.19999999999999996,,,0.2610295123271787,0.19999999999999996,,,0.2610295123271787,0.19999999999999996
rsBTC,1.8444496170277802e-05,10969.482913256754,26905.927840294815,15.2960850558,0.0,14,0.5,2025-01-14 22:19:32,2715.650653661,4960361,43.315938859917125,0.00047201155070600564,29.682045052788485,-0.9999999996656054,0.3881966011259661,0.3462379449695738,0.6000000000000001,,,-0.3569331374427265,0.0,,,-0.3569331374427265,0.0
MEW,0.012236516397867736,49.7537326633548,48.00344469331913,57.025539919,0.0,19,0.5789473684210527,2025-01-15 17:37:21,62855.507062728,518608205,49.99999580316301,0.03267599433479815,0.00990481011670905,-0.9998519303182742,0.2261393455196672,0.6989309848396598,0.19999999999999996,,,0.06913281071227359,0.1578947368421053,,,0.06913281071227359,0.1578947368421053
GORT,9.854024452564598,7.880420846661835,5.896491445822948,3.2823762498,38.25242549774027,20,0.6,2025-01-16 09:50:25,2259.767419889,22221,60.06343381293285,0.0011098055788726234,0.010320161840123089,0.006849888784195457,0.6134773243701206,0.5125482643565038,0.6000000000000001,95.07673841250484,0.70386872187159,0.030402918522202317,0.19999999999999996,,,-0.0919913157464857,0.15384615384615374
∑rgonaut,3387716.4235923095,2732177.238732892,2732177.238732892,0.329507427,0.0,5,0.8,2025-01-14 23:54:37,59.744494797,2020183732858,,0.052953431374707045,8.729713156476216e-18,,0.6072731522982252,-0.21393318397038744,0.6000000000000001,,,-0.21393318397038744,0.6000000000000001,,,-0.21393318397038744,0.6000000000000001
DOBER,94110992.39211641,93631500.37284522,93631500.37284522,0.0533491035,0.0,2,1.0,2025-01-06 22:01:36,10.379939188,978925765717664734,,0.19415964241693776,1.1266906665491152e-25,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0
EPOS,980.7736085108327,395.5339129731488,426.5645637974034,7.3447053396,0.0,7,0.42857142857142855,2025-01-14 09:24:30,2418.563569816,23753140107,,90255.59543412273,1.0381681608092499e-10,978072.0066112757,0.770126069235422,-0.3963940535916119,-0.19999999999999996,,,-0.48604385894185265,-0.1428571428571429,,,-0.48604385894185265,-0.1428571428571429
