token_name,current_price,price_ma_5,price_ma_20,volume_ma_5,price_volatility,recent_trades,buy_pressure,last_trade,erg_liquidity,token_liquidity,rsi_14,market_impact,liquidity_imbalance,price_momentum_5,bb_position_5,volume_imbalance_5,trade_sign_imbalance_5,price_momentum_20,bb_position_20,volume_imbalance_20,trade_sign_imbalance_20,price_momentum_50,bb_position_50,volume_imbalance_50,trade_sign_imbalance_50
GORT,0.10344827586206896,2.054457309393805,5.446078296905254,4.6141568176,34.57814552166804,20,0.55,2025-01-19 19:58:31,2275.592418512,22069,40.11054132838597,0.0,0.9967553300534385,0.008620689655172376,0.3882240240199522,-0.5604151060789035,-0.6,-0.989322179346581,0.2306656372432095,0.014275320153407644,0.10000000000000009,-0.9894904230446552,0.2094008177477829,-0.07760900752151434,0.15999999999999992
rsHOSKY,8620139.85793651,3511845.166227796,6175703.280618227,6.508240530399999,28472472535213.36,20,0.65,2025-01-20 03:02:33,491.130345688,4132657000,48.88821997371122,0.011805356096499667,1.3786470483520598e-14,-0.05825267472856688,0.7654975895366399,0.07809184802344162,-0.19999999999999996,-0.07634242477338105,0.6310222206596761,0.4398009132244312,0.30000000000000004,-0.1385958639592818,0.6381101448061401,-0.048231566689569905,0.15999999999999992
COMET,1.3546156088563685e-05,14493.576830307056,44300.59037297619,47.0786405582,2236842239.5038705,20,0.6,2025-01-20 05:36:35,3897.180336726,286711101,50.000000000007915,0.0024114036237954297,1.0034365558802658,-0.9999999998057942,0.3881966011222392,0.21832917085813558,-0.6,-0.9999999998366428,0.20176577371045992,-0.3237112469958525,0.19999999999999996,-0.999999999839904,0.22297456159662332,-0.17838033032489248,0.1200000000000001
QUACKS,0.012246011584,16.107880390504253,35.65122844659915,91.8799579488,1918.5083035527796,20,0.5,2025-01-20 02:18:42,16000.935409934,1309552884889,41.00430485121014,0.08164681602534088,9.977636193798895e-07,-0.023352273040951887,0.3881941393296355,0.4874259843670826,-0.6,-0.9998242580155466,0.2573214061761428,0.3033563733460044,0.0,-0.3589808929834155,0.24730008820441376,0.3759063285384508,0.040000000000000036
rsADA,1.612620018905731,1.2112506655609871,1.0643285133971159,168.8778740386,0.970091024804049,20,0.45,2025-01-20 03:17:28,51453.503561705,82822199270,55.572842560662245,2.5524962099617373e-05,3.8524423337123885e-07,1.6177531757295216,0.683492204147453,-0.7717574370814863,0.19999999999999996,1.6900942026056796,0.7690196689985956,0.010725965799711804,-0.09999999999999998,1.6649255365225524,0.8223036720845168,-0.03722605145381347,0.0
$Lambo,3090.0612866359347,1943.0381458398183,1384.4872891348846,0.4535470567999999,0.0,15,0.8,2024-12-26 01:07:01,3.527665367,11015,54.63061103424152,4.512381753033859,1.036420004247498e-07,4500449.580242438,0.7420106104950046,0.7274840523229252,0.6000000000000001,,,0.1956372070457008,0.6000000000000001,,,0.1956372070457008,0.6000000000000001
Mi Goreng ,617600.1769088581,387196.0852308323,381940.01662347483,0.5482406122000001,188710800553.99942,20,0.6,2025-01-14 03:45:20,53.084053099,32634447,49.90049756470388,17478514950065.068,2.633785517940657e-12,-0.056151247416284855,0.6627724120772891,-0.5577102115310968,0.19999999999999996,0.07107631850668739,0.6839489699081505,0.22197735515383105,0.19999999999999996,0.5915327017542189,0.6831045798474726,0.19154975748398398,0.28
ErgOne,0.06932086733772876,0.06896937230519763,7.273735604719161,3.3585947832,106.81871213712563,20,0.45,2025-01-19 15:00:51,3132.977107123,4532136642520,39.07777789830877,0.0026319667813445857,9.972182968772258e-09,-0.9951797366373187,0.8192897149801217,-1.0,-1.0,-0.9959774857988047,0.2806867978166143,-0.6624821732132992,-0.09999999999999998,-0.994437832938839,0.3014112406412644,0.1328838924080545,-0.19999999999999996
Terahertz,6216.30489230953,4101.298332003122,2549.5734427880025,7.8925734874,4483590.894849822,20,0.95,2025-01-15 08:17:35,190.186562213,11887108839,68.13440719664561,0.10291915674826801,2.5737791707254924e-12,0.4352593093832138,0.7200243738434218,0.9421294702001611,0.6000000000000001,9.094102438817714,0.9996001294950738,0.998746337576176,0.8999999999999999,,,0.9916252148957461,0.8400000000000001
EPOS,984.5625444103073,393.9060466134521,383.0015446104502,0.901244102,459321.6401647934,20,0.4,2025-01-19 19:35:56,2419.057349306,23748428940,54.5340615682923,1843359.1991561644,1.034589270241794e-10,0.0038632115164962677,0.7737680878289624,-0.10957730295360082,-0.19999999999999996,0.24757287379526627,0.8116303149026458,0.7017338506311629,-0.19999999999999996,936349.620990269,0.7740960426696042,0.033966365457783164,0.1200000000000001
Paideia,523.1548876425479,415.4842818535311,415.2660795675827,99.97396251039999,94392.03309705785,20,0.85,2025-01-17 06:53:17,40885.560325679,213257622692,51.728343025943204,0.008137226836602705,3.664671944087491e-10,0.015550886770323569,0.615887348415922,0.6108334735101385,0.6000000000000001,233853.912718064,0.6489106154441784,0.8961961567927418,0.7,0.07021520548781868,0.7650150933805571,0.15243315045006553,0.15999999999999992
PDV,0.0015301205146141016,265.38076353705776,476.09348640886583,17.478173283599997,165331.0877633276,20,0.7,2025-01-18 06:42:20,2571.665588571,16807410544,33.28946937511246,0.0012178945968948226,9.999724783140756e-05,0.04908892366216677,0.31742683494602025,-0.6991359619409329,-0.19999999999999996,-0.9999976969797322,0.12787711144910158,-0.17883896927809637,0.3999999999999999,-0.3905967934804353,0.21369122053621978,0.2899206550321887,0.19999999999999996
ergopad,13925.13352634566,13660.319321105038,10333.847798955854,34.0654343584,55871140.29963054,20,0.8,2025-01-19 23:59:14,7376.584903133,10239738313,67.75190980962617,0.0011688740952037105,5.173293511814893e-11,0.046281482290549514,0.7700050141174052,1.0,1.0,0.11235888698309093,0.6683721803225363,0.6046754406885438,0.6000000000000001,163676018.46866688,0.7073525622832101,0.569056145300023,0.52
AHT,8.540467590588235e-05,7083.729264218176,7658.453265041612,5.8987794644000004,58483058.81334533,20,0.7,2025-01-19 09:16:22,1025.728480614,119610978370,44.791690852630296,0.1377524786776838,0.0001004106371068473,0.010175835648762899,0.22614997593358813,-0.12594459868920815,0.19999999999999996,-0.18110338005124194,0.13089884093316367,0.45589262316692036,0.3999999999999999,-0.239552032265266,0.1619931790313922,0.2880358705299483,0.32000000000000006
