timestamp,datetime,is_buy,input_amount_adjusted,output_amount_adjusted,price,erg_liquidity,token_liquidity,volume_erg,tx_id,price_ma_5,price_ma_20,volume_ma_5,returns,volatility,price_momentum_5,volume_momentum_5,bb_middle_5,bb_std_5,bb_upper_5,bb_lower_5,bb_position_5,price_momentum_20,volume_momentum_20,bb_middle_20,bb_std_20,bb_upper_20,bb_lower_20,bb_position_20,price_momentum_50,volume_momentum_50,bb_middle_50,bb_std_50,bb_upper_50,bb_lower_50,bb_position_50
1736832022402,2025-01-14 00:20:22.402,False,482701.0,2.0,4.143351681475696e-06,172.511989177,41281152,2.0,75c28f89838008c5f9c8b74441b329660b81c1e93c1153e900eddd01bd459328,45215.38264306901,52154.7658856329,20.269820246200002,0.10927689535896268,5211348129.425383,-0.9999999999602597,0.9716297094585067,45215.38264306901,101104.66921084096,247424.72106475092,-156993.95577861293,0.3881966011267128,-0.5888179224820334,1.0,52154.7658856329,64959.600857167476,182073.96759996784,-77764.43582870206,0.2992799940528925,-0.6453394544448842,0.0,51519.66924449728,53603.28383125812,158726.23690701352,-55686.898418018965,0.2597177562734
1736832282054,2025-01-14 00:24:42.054,True,0.524577229,126304.0,240772.93679097152,171.987411948,41407456,0.524577229,d2dcec31a8e3ae06fc874c52037fe593a9ec39ad02bb019301a0a2d63a85d756,48154.58736095826,64193.41272487454,7.104915445800001,58110668679.969376,13363088703.147633,0.06500453045528887,-0.992093679955458,48154.58736095826,107676.93075982943,263508.4488806171,-167199.2741587006,0.9472135954999579,39223115266.93322,1.6228861449999998,64193.41272487454,76134.70042395384,216462.8135727822,-88075.98812303314,1.0798260290078607,19748966747.993217,-0.8950845542,56335.12798007288,59383.80536722594,175102.73871452478,-62432.482754379,1.2764650971352633
1736832625177,2025-01-14 00:30:25.177,False,2053010.0,9.0,4.383807190417971e-06,180.987411948,39354446,9.0,f979de3664fadbe55300fb09e5aa78f91ba072e91ab09f070e81036390056675,48154.58736131511,59223.385250624444,5.9049154458,-0.9999999999817928,13186763730.007109,0.6863880838378769,-0.4,48154.58736131511,107676.93075962995,263508.448880575,-167199.27415794478,0.38819660112613147,-0.9999999999558975,26.457872545485856,59223.385250624444,76955.41698381738,213134.2192182592,-94687.44871701032,0.307604884855947,-0.99999999994531,42.940566575524166,54731.98082007843,59808.03041682024,174348.04165371892,-64884.08001356205,0.271218093815116
1736832857675,2025-01-14 00:34:17.675,True,1.033509676,226727.0,219375.78840819676,179.953902272,39581173,1.033509676,41910b25835b1e4d5bb4ad99e156a315180a5783a5a3123133bfb90a97089aec,92029.74504228611,70192.17467052593,5.511617381,50042298594.545784,16524325717.223173,65646157172.7944,-0.6554967746666667,92029.74504228611,126243.78575589991,344517.31655408593,-160457.8264695137,0.7521827957776512,21577363795.253418,0.03350967599999999,70192.17467052593,83431.56158791216,237055.29784635024,-96670.9485052984,0.9470239166639458,1.7081401554097253,-0.3226327809653202,57499.37520737531,64096.12626313257,185691.62773364046,-70692.87731888983,1.131381421305686
1736834862518,2025-01-14 01:07:42.518,False,10240908.0,63.0,6.151798258513796e-06,242.953902272,29340265,63.0,d1f56ed51282604e8134cc18df243594043295defbed6a9ed18970ede8e77668,92029.74504276944,65101.566683384925,15.111617380999999,-0.9999999999719578,16594026016.784554,0.6469873179214187,3.2,92029.74504276944,126243.78575545948,344517.3165536884,-160457.82646814952,0.31775391064617653,-0.999999999939577,11.181078349206967,65101.566683384925,84499.92713953012,234101.42096244515,-103898.28759567531,0.3073916484870618,-0.9999999999252134,61.13737019115009,55854.2143586279,64502.051150638625,184858.31665990513,-73149.88794264935,0.2835176813911169
1736835705395,2025-01-14 01:21:45.395,True,20.072692019,2651345.0,132087.16586147706,222.881210253,31991610,20.072692019,907e938c39bceb7579a0f233e56fe086ffabfb3d34d175f31e8fca6f4b13d159,118447.17821423616,71705.92497597665,18.7261557848,21471309738.176624,16814054488.634722,31879303523.25042,9.0363460095,118447.17821423616,115537.54030769542,349522.258829627,-112627.90240115469,0.5295141899570377,13698143563.719765,12.381794679333334,71705.92497597665,84305.52881596977,240316.98260791617,-96905.13265596288,0.6790548073582053,0.5811265252908806,12.192281192528277,56825.15949811924,65287.90931281318,187400.9781237456,-73750.65912750713,0.7881927417937212
1736836204466,2025-01-14 01:30:04.466,True,17.212907755,2686485.0,156073.8626057896,205.668302498,34678095,17.212907755,cc46ab302c367c22908d672dc26d3ae51abded303c08668ef25489e8beda113d,101507.36337719978,79509.61810577575,22.06382189,0.18159748214650895,16814054488.630592,-0.3517798773984052,31.812914483178986,101507.36337719978,97996.27851960988,297499.92041641957,-94485.19366201998,0.6392055393656367,15913291030.286306,16.212907755,79509.61810577575,84541.88569026116,248593.38948629808,-89574.15327474657,0.7264092049606179,12653021548.715075,2.129619591818182,59946.63674998833,66239.68064809834,192425.998046185,-72532.72454620834,0.8628007597382679
1736846530432,2025-01-14 04:22:10.432,False,167278.0,1.0,5.978072430325566e-06,206.668302498,34510817,1.0,d18ba75c861bbeaded3675912d4d090f78b72530d0c08f4b8bedc077750dee1d,101507.36337751863,74361.2905455637,20.46382189,-0.9999999999616972,16896285728.46343,0.36367138668696564,-0.8888888888888888,101507.36337751863,97996.27851919705,297499.92041591275,-94485.19366087546,0.2410428107439414,-0.9999999999419416,-0.3445837314197935,74361.2905455637,86157.97131817417,246677.23318191204,-97954.65209078464,0.2842298007894835,-0.9999999999264599,-0.7977050733367246,58320.83692939901,66701.12573747453,191723.08840434806,-75081.41454555005,0.28140984774019084
1736869822705,2025-01-14 10:50:22.705,False,3036718.0,20.0,6.5860577109892985e-06,226.668302498,31474099,20.0,8e4fab9bdaca0eaab71b5042273835f8a2d0cb09928b380fe84da6e3e14981c0,57632.205697196514,69104.44619263985,24.2571199548,0.10170256177886783,16896285728.46155,-0.9999999999699782,18.35153628885812,57632.205697196514,79370.51452899315,216373.2347551828,-101108.8233607898,0.31847098373805405,-0.9999999999373573,12.047678311354442,69104.44619263985,87380.14358027409,243864.73335318803,-105655.84096790833,0.3022879015912546,-0.4583527347616736,9.0,58320.83692928755,66701.12573757398,191723.08840443552,-75081.4145458604,0.2814098477432132
1736870534198,2025-01-14 11:02:14.198,True,1.656478751,232430.0,140315.7148014632,225.011823747,31706529,1.656478751,ebf40b1eb3c2a27809ae51ee76766fa4b83ea70e6c32df34713f48487147ab5d,85695.34865625878,76120.23193223301,11.988415704999998,21304962840.023487,17069582618.912088,22808894066.23846,-0.9737066864920635,85695.34865625878,78702.137657857,243099.6239719728,-71708.92665945523,0.6735034389493217,14616547694.15362,-0.17176062449999996,76120.23193223301,87172.45329436682,250465.13852096663,-98224.67465650062,0.6841048417338123,0.5983861123664362,-0.8545845723997917,59371.433833682015,67582.56518218499,194536.564198052,-75793.69653068797,0.7994273772739187
